key	ko-KR	zh-CN	en-US	ja-JP	zh-TW
COUNT	건	个	Count	件	個
RUN_43E	4-3e	4-3e	4-3e	4-3e	4-3e
RUN_02	0-2	0-2	0-2	0-2	0-2
RUN_SG_32	최종수단 Ⅱ	最终手段 Ⅱ	Last Resort II	最終手段Ⅱ	最终手段 Ⅱ
RUN_104E	10-4e	10-4e	10-4e	10-4e	10-4e
RUN_81N	8-1n	8-1n	8-1n	8-1n	8-1n
RUN_115	11-5	11-5	11-5	11-5	11-5
RUN_124E	12-4E	12-4E	12-4E	12-4E	12-4E
RUN_134	13-4	13-4	13-4	13-4	13-4
RUN_82	8-2	8-2	8-2	8-2	8-2
RUN_SC_31EX	인식 분열 Ⅰ EX	认知裂变Ⅰ EX	Fractured Cognition I EX	認知分裂Ⅰ EX	認知裂變Ⅰ EX
COMBAT_REPORT	작전보고서	作战报告	Combat Report	作戦報告書	作戰報告
COMBAT_REPORT_SHORT	작보	报告	C.Report	作報	報告
UNKNOWN	알 수 없음	未知道	Unknown	不明	不明
NEED_RELOGIN	재로그인 필요	需要再登录	Need Re-log in	再ログインが必要	需要重新登錄
UNRECEIVE_SHARE_GEM	공유보석 미수령	未领取共用宝石	Unreceived Share Gem	シェアダイヤ未獲得	未領取分享鑽石
UNRECEIVE_SHARE_BATTERY	공유전지 미수령	未领取共用电池	Unreceived Share Battery	戦友宿舎バッテリー未獲得	未領取好友電池
EXPLORE_ADAPTIVE_CHANGE_IMMINENT	탐색우세 변경	Adpt Team Change	Advantaged Echelon Change	探索ボーナス人形・ペット変更	前進營地優勢梯隊已變更
THEATER_NO_DRONE	정찰 미투입	No Drone	No Drone	偵察未選択	偵查未選擇
THEATER_DRONE_RANDOM_PICK	뽑기	Pick	Pick	ランダム	選擇
CHARGING_DORM_BATTERY	숙소전지 충전	宿舍电池充值	Dorm Battery Recharge	宿舎バッテリー	宿舍電池充能
SPEND_RESOURCE	투입 자원	投入资源	Spend Resources	投入資源	投入資源
REWARD_RESOURCE	획득 보상	获得奖励	Reward Resources	獲得報酬	獲得獎勵
EQUIPPED_EQUIPMENT	착용 장비	装备	Equipment	装備	裝備
REQUIRE_EXP	필요 경험치	需要经验值	Require Exp	必要経験値	需要經驗值
NO_MVP_BONUS	[font color='#F44336'](MVP 보너스 미적용)[/font]	[font color='#F44336'](未考虑MVP)[/font]	[font color='#F44336'](No MVP Bonus)[/font]	[font color='#F44336'](MVP ボーナス未適用)[/font]	[font color='#F44336'](沒有MVP加乘)[/font]
TO_NEXT_LEVEL	다음 레벨	其次等级	Next Level	次のレベルまで	距離升級
TO_NEXT_EXPAND	다음 편제	其次编制	Next Link	次の編拡まで	距離下次擴編
TO_MAX_LEVEL	최대 레벨	最大等级	Max Level	最大レベルまで	最大等级
REQUIRE_RESTORE	수복 정보	修复信息	Restore Info	修理	修復
DISPATCHED_ECHELON	투입 제대	投入的梯队	Echelon	部隊	投入的梯隊
EXPLORE_8_HOUR_GUIDE	(8시간 기준)	(标准是8个小时)	(8 Hours)	(8時間基準)	(標準是8小時)
EXPLORE_REWARD_GUIDE	획득 보상을 보려면 전진기지-제어콘솔을 열어주십시오	如果想获得奖励,请打开前进营地-储物柜	Open Gate Console in Forward Basecamp to check exploration rewards	獲得報酬を見たい場合、キャンプの制御コンソールを開いてください	若想獲取獎勵請前往前進營地點選儲物櫃
NEXT_EVENT	다음 발견	其次发现	Next Event	次の発見	下次發現
NOW_EXPLORE	탐색 중	正在探索	Exploring	探索中	正在探索
DAILY_QUEST	일간임무	日常任务	Daily Quest	デイリー任務	每日任務
WEEKLY_QUEST	주간임무	周常任务	Weekly Quest	ウィークリー任務	每周任務
RESEARCH_QUEST	정보임무	情报任务	Intelligence Quest	情報任務	情報任務
BINGO_QUEST	빙고임무	活动任务	Bingo Quest	ビンゴ任務	密鑰任務
LOGISTICS	군수지원	后勤支援	Logistics	後方支援	後勤支援
AUTO_BATTLE	자율작전	自律作战	Auto-Battle	自律作戦	自律作戰
MISSION	작전	作战	Mission	作戦	作戰任務
LOGISTICS_SHORT	군수	后勤	Logistics	後方	後勤支援
AUTO_BATTLE_SHORT	자율	自律	Auto	自律	自律作戰
MISSION_SHORT	작전	作战	Mission	作戦	作戰任務
EXPLORATION_SHORT	탐색	探索	Exploration	探索	探索
PRODUCE_GUN_SHORT	인형	T-Doll	T-Doll	人形	人形
PRODUCE_EQUIP_SHORT	장비	Equip	Equip	装備	裝備
SKILL_TRAIN_SHORT	훈련	Skill	Skill	スキル	技能
DATA_ANALYSIS_SHORT	분석	Analysis	Analysis	分析	分析
SANGVIS_RESCAN_SHORT	재수색	Rescan	Rescan	スキャン	掃描
SKILL_TRAIN	스킬훈련	技能训练	Skill Training	スキル訓練	技能訓練
EXP_TRAIN	경험훈련	经验训练	Exp Training	経験訓練	經驗訓練
COMBAT_FAIRY	전투요정	战斗妖精	Combat Fairy	戦闘妖精	戰鬥妖精
STRATEGY_FAIRY	전략요정	战略妖精	Strategy Fairy	戦略妖精	策略妖精
EXPLORE_CITY	도시	城市	City	都市	程式
EXPLORE_SNOW_LAND	설원	雪原	Snowfield	雪原	雪地
EXPLORE_FOREST	숲	树林	Forest	森	森林
EXPLORE_WASTE_LAND	황무지	荒地	Wasteland	荒野	荒野
DATA_PIECE	핵심데이터	芯片	Data Piece	核心データ	晶片
HOME_BG	기지배경	基地背景	Background	基地背景	基地背景
DOLL	인형	人形	T-Doll	人形	人形
SKIN	스킨	外观	Appearance	スキン	外觀
CAPTURE_STATUS	포획현황	Capture Status	Capture Status	捕獲状況	捕獲狀況
AUTO_EXPLORE	자동	自律	Auto	自律	自律
AUTO_FAIRY_SKILL	요정스킬	释放妖精	Fairy Skill	妖精スキル	釋放妖精
AUTO_RESUPPLY	보급	补给	Resupply	補給	補給
// Tab					
TAB_DASHBOARD	알림	通知	Alarm	通知	通知
TAB_ECHELON	제대	梯队	Echelon	部隊	梯隊
TAB_QUEST	임무	任务	Quest	任務	任務
TAB_WAREHOUSE	창고	仓库	Warehouse	倉庫	倉庫
TAB_RECORD_MISSION	전역 녹화	作战绿化	Record Mission	録画	錄製作戰紀錄
TAB_MINIMAP	미니맵	小地图	Minimap	ミニマップ	小地圖
TAB_PROXY	연결	连接	Proxy	接続	離線
TAB_NOTIFICATION_SETTING	알림 설정	通知设置	Notification Settings	通知設定	通知設置
TAB_SETTING	설정	设置	Settings	設定	設置
TAB_RIGHT_CLICK_TO_OPEN_WINDOW	오른쪽 클릭으로 새 창 열기	Right click to open new window	Right click to open new window	新しいウィンドウで開く（右クリック）	使用滑鼠右鍵打開新窗口
TAB_MIDDLE_CLICK_TO_OPEN_WINDOW	휠 클릭으로 새 창 열기	Middle Click to open new window	Middle Click to open new window	新しいウィンドウで開く（中クリック）	使用滑鼠中鍵打開新窗口
// Header					
HEADER_EXPCAL_BUTTON	경험치 계산기	经验值计算器	Exp Calculator	周回数計算	經驗值計算器
HEADER_EXPCAL_PRESET	프리셋	预设	Preset	プリセット	預設
HEADER_EXPCAL_BASE_EXP	기본 경험치	基本经验值	Base Exp	基本経験値	基本經驗值
HEADER_EXPCAL_BATTLE_COUNT	교전 횟수	交战次数	Battle Count	戦闘回数	交戰次數
HEADER_EXPCAL_LEVEL_PENALTY	레벨 패널티	最优经验值等级	Level Penalty	適正レベル	最優經驗等級
HEADER_EXPCAL_EXPUP_EVENT	경험치 이벤트	经验值提升活动	Exp Up Event	経験値増加	戰役作戰經驗提升
HEADER_EXPCAL_EXPUP_EVENT_TOOLTIP	경험치 이벤트를 설정	设定经验值提升活动	Apply Exp Rate-up Event	経験値増加	戰役作戰經驗提升
HEADER_EXPCAL_APPLY_BUTTON	적용	设置	Apply	適用	設置
HEADER_SORT_BUTTON	정렬	排序	Sort	ソート	排序
HEADER_SORT_BY_SLOT	슬롯 순	位置	Slot	スロット順	位置
HEADER_SORT_BY_REMAIN_TIME	남은 시간 순	剩余时间	Remaining Time	残り時間順	剩餘時間
HEADER_FILTER_BUTTON	필터	过滤	Filter	フィルター	設置
HEADER_COLLAPSE_EXPAND_BUTTON	일괄 접기/펴기	一总 关/开	Collapse/Expand All	全て閉じる/開く	全部開啟/關閉
// Footer					
FOOTER_SIM_POINT	모의작전점수	模拟作战体力	Sim Energy	AP	模擬作戰基礎動能
FOOTER_SIM_POINT_TOOLTIP	오늘 충전가능한 점수 [b]{0}[/b]점[br](출석시간 {1} 기준)	今天可充的体力 [b]{0}[/b]点[br](连接时间 {1} 标准)	Today's Available Sim Energy [b]{0}[/b] [br](Attendance Time {1})	今日回復できるAP [b]{0}[/b][br](ログイン時間 {1} 基準)	今日還可獲得 [b]{0}[/b]點[br]基礎動能(以時間{1} 為標準)
FOOTER_SIM_POINT_FULL_CHARGE_TIME	완전 충전 시간	Full Charge Time	Full Charge Time	最大になる時刻	基礎動能已滿
FOOTER_SANGVIS_SIM_POINT	혼합훈련점수	基础势能	Potential Energy	PE	基礎勢能
FOOTER_SANGVIS_SIM_POINT_TOOLTIP	오늘 충전가능한 점수 [b]{0}[/b]점[br](출석시간 {1} 기준)	今天可充的体力 [b]{0}[/b]点[br](连接时间 {1} 标准)	Today's Available Sim Energy [b]{0}[/b] [br](Attendance Time {1})	今日回復できるPE [b]{0}[/b][br](ログイン時間 {1} 基準)	今日還可獲得 [b]{0}[/b]點[br]基礎勢能(以時間{1} 為標準)
FOOTER_SANGVIS_SIM_FULL_CHARGE_TIME	완전 충전 시간	Full Charge Time	Full Charge Time	最大になる時刻	基礎勢能已滿
FOOTER_SANGVIS_PULSE_POINT	전자기펄스	电子脉冲	Electronic Impulses	電子パルス	電子脈衝
FOOTER_SANGVIS_PULSE_POINT_TOOLTIP	오늘 충전가능한 전자기펄스 [b]{0}[/b]점[br](출석시간 {1} 기준)	오늘 충전가능한 전자기펄스 [b]{0}[/b]점[br](출석시간 {1} 기준)	Today's Available Eletronic Impulses [b]{0}[/b][br](Attendance Time {1})	今日回復できるパルス [b]{0}[/b][br](ログイン時間{1}基準)	今日還可獲得 [b]{0}[/b]點[br]電子脈衝(以時間{1} 為標準)
FOOTER_SANGVIS_RESCAN	목표재수색	重新搜索目标	Search for new targets	融合地区再スキャン	重新搜索目標
FOOTER_SURPLUS_EXP	자유경험치	全局经验值	Surplus Exp	トータル経験値	全域經驗
FOOTER_SURPLUS_EXP_TOOLTILP	자유경험치	全局经验值	Surplus Exp	トータル経験値	全域經驗
// Status					
STATUS_FAIRY_COMMAND_COUNT	지령	指令	Fairy.Cmd	指令	指令
STATUS_REINFORCE_COUNT	지원	支援	Support	友軍	支援
STATUS_READY_RESCAN	목표재수색	重新搜索目标	Rescan	融合地区再スキャン	重新搜索目標
STATUS_EVENT_BOX_COUNT	상자	Box	Box	イベント	活動物資箱
STATUS_STORAGE	창고	仓库	Armory	倉庫	倉庫
STATUS_DOLL_COUNT	인형	人形	T-Doll	人形	人形
STATUS_EQUIP_COUNT	장비	装备	Equip	装備	裝備
STATUS_FAIRY_COUNT	요정	妖精	Fairy	妖精	妖精
STATUS_SANGVIS_COUNT	혼합세력	融合势力	Coalition	融合勢力	融合勢力
STATUS_DAMAGED_COUNT	중상	重创	Damaged	大破	重創
STATUS_MOVE_COUNT	제대이동	梯队移动	Move.Cnt	部隊移動	梯隊移動
// Overlay					
OVERLAY_EMPTY_DASHBOARD	알림 정보가[br]존재하지 않습니다	不存在[br]通知信息	Dashboard[br]is empty	情報が[br]ありません	不存在[br]通知信息
OVERLAY_EMPTY_ECHELON	제대 정보가[br]존재하지 않습니다	不存在[br]梯队信息	Echelon Info[br]Not Found	部隊情報が[br]ありません	不存在[br]梯隊信息
OVERLAY_EMPTY_QUEST	메인화면 [font color='#ffb400']임무[/font] 버튼을[br] 눌러주십시오	在主页选择[font color='#ffb400']任务[/font]	Press [font color='#ffb400']QUEST[/font] Button[br]on Main Menu	メイン画面 [font color='#ffb400']任務[/font] ボタンを[br]押してください	在主頁選擇[font color='#ffb400']任務[/font]
OVERLAY_COMPLETE_QUEST	모든 임무가[br]완료되었습니다	完成所有任务	All Quests[br]Completed	全ての任務が[br]完了しました	完成所有任務
// Dashboard					
DASHBOARD_GROUP_DISPATCHED_ECHELON	지원현황	支援现况	Dispatched Echelon	後方状況	後勤支援
DASHBOARD_GROUP_PRODUCE_DOLL	인형제조	人形制造	T-Doll Production	人形製造	人形製造
DASHBOARD_GROUP_PRODUCE_EQUIP	장비제조	装备制造	Equip Production	装備製造	裝備製造
DASHBOARD_GROUP_SKILL_TRAIN	훈련현황	训练现况	Skill Training	訓練状況	技能訓練
DASHBOARD_GROUP_DATA_ANALYSIS	분석현황	解析现况	Data Analysis	分析状況	解析狀況
DASHBOARD_GROUP_RESTORE	수복현황	修复现况	Repair T-Doll	修理状況	修復狀況
DASHBOARD_GROUP_EXPLORE	탐색현황	探索现况	Exploration	探索状況	前進營地
DASHBOARD_GROUP_SANGVIS_RESCAN	목표재수색	Sangvis Rescan	Coalition Rescan	融合地区再スキャン	收歸行動
// Minimap					
MINIMAP_TURN_COUNT	턴	回合	Turn	ターン	回合
MINIMAP_ACTION_POINT	행동점수	行动点数	Action Points	AP	行動點數
MINIMAP_FLOOR	층	Floor	Floor	階層	階層
MINIMAP_SHOW_ECHELON_UNIT	유닛	Unit	Unit	ユニット	單位
MINIMAP_SHOW_POWER_TAG	적 작능	作战效能	Combat Effectiveness	作戦能力	作戰效能
MINIMAP_SHOW_ECHELON_TAG	제대	梯队	Echelon	部隊名	梯隊
MINIMAP_SHOW_ENEMY_TAG	적 제대	Enemy Echelon	Enemy Echelon	敵部隊名	敵方部隊
MINIMAP_DRAW_HIGH_QUALITY	고품질	High Quality	High Quality	高画質	高畫質
MINIMAP_CAPTURE	캡쳐	Capture	Capture	スクショ	截圖
MINIMAP_AUTO_CAPTURE	자동 캡쳐	Auto Capture	Auto Capture	自動スクショ	自動截圖
MINIMAP_DEBUG_MODE	디버그	调试	Debug	デバッグ情報	Debug用
MINIMAP_SHOW_ECHELON_INFO_TAG	제대정보	Team Info	Team Info	部隊情報	隊伍資訊
MINIMAP_SHOW_DROP_RANK_TAG	보상등급	Reward Rank	Reward Rank	ドロップランク	獎勵等級
MINIMAP_SHOW_SQUAD_RANGE_TAG	지원사거리	Squad Range	Squad Range	支援範囲	支援範圍
MINIMAP_NO_CONNECTION	연결 끊김	CONNECTION TERMINATED	CONNECTION TERMINATED	CONNECTION TERMINATED	CONNECTION TERMINATED
MINIMAP_ENEMY_PREVIEW_OVERLAY	오른쪽 클릭하여[br]적 제대 정보 보기	Right click to[br]show enemy team info	Right click to[br]show enemy team info	右クリックで編成詳細	點擊滑鼠右鍵[br]顯示敵方隊伍信息 
MINIMAP_ENEMY_PREVIEW_SHOW_SD	SD	SD	SD	SD	SD
MINIMAP_ENEMY_PREVIEW_SHOW_LINK	편제	Link	Link	Link	Link
MINIMAP_ENEMY_PREVIEW_SHOW_ICON	마커	Marker	Marker	マーカー	標記
MINIMAP_ENEMY_INFO_UNIT	유닛	Unit	Unit	名称	單位
MINIMAP_ENEMY_INFO_POSITION	위치	Position	Position	位置	位置
MINIMAP_ENEMY_INFO_COMBAT_EFFICIENCY	작전능력	Combat Efficiency	Combat Efficiency	作戦能力	作戰效能
MINIMAP_ENEMY_INFO_LEVEL	레벨	Level	Level	レベル	Level
MINIMAP_ENEMY_INFO_NUMBER	편제	Link	Link	Link	Link
MINIMAP_ENEMY_INFO_LIFE	체력	HP	HP	HP	生命
MINIMAP_ENEMY_INFO_POW	화력	DMG	DMG	火力	傷害
MINIMAP_ENEMY_INFO_RATE	사속	ROF	ROF	射速	射速
MINIMAP_ENEMY_INFO_HIT	명중	ACC	ACC	命中	命中
MINIMAP_ENEMY_INFO_DODGE	회피	EVA	EVA	回避	迴避
MINIMAP_ENEMY_INFO_RANGE	사거리	Range	Range	射程	射程
MINIMAP_ENEMY_INFO_SPEED	이동속도	Speed	Speed	移速	移速
MINIMAP_ENEMY_INFO_ARMOR	장갑	Armor	Armor	装甲	護甲
MINIMAP_ENEMY_INFO_ARMOR_PIERCING	관통	AP	AP	破甲	穿甲
MINIMAP_ENEMY_INFO_DEF_BREAK	파쇄	DEF Break	DEF Break	破砕	降防
MINIMAP_ENEMY_INFO_DEF	최대역장	Max Def	Max Def	最大障壁値	最大立場值
MINIMAP_ENEMY_INFO_DEF_PERCENT	역장(%)	Def(%)	Def(%)	障壁率(%)	立場值(%)
// Proxy Setting					
SETTING_PROXY_SERVER_GROUP	프록시 서버	代理服务器	Proxy Server	プロキシサーバー	代理服務器
SETTING_PROXY_SERVER_USE_PROXY_SERVER	프록시 서버	代理服务器	Proxy Server	プロキシサーバー	代理服務器
SETTING_PROXY_SERVER_USE_AUTO_START	자동시작	自动运行代理服务器	Auto Start	プロキシ自動スタート	自動運行代理服務器
SETTING_PROXY_SERVER_PORT_NUMBER	포트번호	代理服务器端口编号	Port Number	プロキシポート番号	代理服務器端口編號
SETTING_PROXY_SERVER_USE_AUTH	접속 인증	连接认证	Authentication	認証	連接認證
SETTING_PROXY_SERVER_AUTH_USERNAME	사용자 이름	用户名	Username	ユーザー名	用戶名
SETTING_PROXY_SERVER_AUTH_PASSWORD	비밀번호	密码	Password	パスワード	密碼
SETTING_PROXY_SERVER_BLOCK_SUSPICIOUS_IP	수상한 IP 차단	Block Suspicious IP	Block Suspicious IP	不審なIPをブロック	阻止可疑IP
SETTING_PROXY_SERVER_ALLOW_IP_MESSAGE	{0}를 허용하시겠습니까? 해당 IP로 접속하지 않은 경우 [아니오]를 클릭하여 IP를 차단합니다.	Would you like to allow {0}? If you have never accessed with that IP, click [No] to block IP.	Would you like to allow {0}? If you have never accessed with that IP, click [No] to block IP.	{0}を許可しますか？このIPをブロックしたい場合は[いいえ]を選んでください。	是否允許 {0}連線? 如果不允許連接, 點選 [No] 阻止連線
SETTING_PROXY_SERVER_IP_WHITELIST	허용된 IP	Allowed IP	Allowed IP	許可済IP	允許 IP
SETTING_PROXY_SERVER_IP_BLACKLIST	차단된 IP	Blocked IP	Blocked IP	拒否済IP	封鎖 IP
SETTING_PROXY_SERVER_BLOCK_ALL_IP	모든 IP 차단	Block All IP	Block All IP	全てのIPをブロック	封鎖所有 IP
SETTING_PROXY_SERVER_BLOCK_ALL_IP_COMMENT	체크 시 이후 접속 시도되는 모든 IP 묻지 않고 자동 차단	If checked, all IPs that are attempted to connect afterward are automatically blocked.	If checked, all IPs that are attempted to connect afterward are automatically blocked.	チェックすると、その後に接続を試みたすべてのIPを自動的にブロックします。	勾選後將會自動阻止之後所有嘗試連接的IP。
SETTING_PROXY_SERVER_USE_FIX_CN_SERVER_HEOS	중섭 히오스 픽스	중섭 히오스 픽스	CN Infinite Loading Fix	중섭 히오스 픽스	중섭 히오스 픽스
SETTING_PROXY_SERVER_USE_FIX_CN_SERVER_HEOS_WARNING	한국에서 접속하는 영사/비리 서버 플레이어만 사용할 것	한국에서 접속하는 영사/비리 서버 플레이어만 사용할 것	Intended for Sunborn/Bili users in Korea. Do not use if you don't apply.	한국에서 접속하는 영사/비리 서버 플레이어만 사용할 것	한국에서 접속하는 영사/비리 서버 플레이어만 사용할 것
SETTING_PROXY_SERVER_USE_FIX_CN_SERVER_HEOS_COMMENT	[a href='{0}']링크[/a]의 정보를 기반으로 동작	[a href='{0}']링크[/a]의 정보를 기반으로 동작	Method based from the following [a href='{0}']link[/a].	[a href='{0}']링크[/a]의 정보를 기반으로 동작	[a href='{0}']링크[/a]의 정보를 기반으로 동작
SETTING_PROXY_SERVER_USE_SSL_DECRYPT	HTTPS 복호화	代理服务器 HTTPS 复护化	HTTPS Decryption	プロキシHTTPS復号化	代理服務器HTTPS 修復
SETTING_PROXY_SERVER_USE_SSL_DECRYPT_WARNING	[font color='#F44336']대만 서버 필수, 중국 서버 고화질 일러 패치 사용 시 필요, 인증서를 설치한 환경에서만 사용할 것[/font]	[font color='#F44336']只在台服使用[/font]	[font color='#F44336']TW Server Only[/font]	[font color='#F44336']台湾サーバープレイヤーのみ使ってください[/font]	[font color='#F44336']只在台服使用[/font]
SETTING_PROXY_SERVER_USE_SSL_DECRYPT_COMMENT	[a href='{0}']링크[/a]를 참고해서 인증서 설치 후 사용 가능	参考[a href='{0}']链接[/a]可在设置认证书后使用	Refer to [a href='{0}']link[/a] to install certificate before use	[a href='{0}']サイト[/a]を参考して認証書をインストールした後使えます	参考[a href='{0}']連結[/a]可在設置證書後使用
SETTING_PAC_SERVER_GROUP	PAC 서버	PAC服务器	PAC Server	PACサーバ	PAC伺服器
SETTING_PAC_SERVER_USE	PAC 서버	PAC服务器	PAC Server	PACサーバ	PAC伺服器
SETTING_PAC_SERVER_USE_TOOLTIP	PAC(Proxy Auto Config)를 사용하기 위한 서버[br][font color='#F44336']관리자 권한이 필요[/font]	使用PAC(Proxy Auto Config)的服务器时，[br][font color='#F44336]]需要管理者权限[/font]	[font color='#F44336']Server Admin's Privilege[/font][br]is required to use PAC(Proxy Auto Config)	PAC(Proxy Auto Config)の使用には[br][font color='#F44336']管理者権限[/font]が必要です	使用PAC(Proxy Auto Config)伺服器時，[br][font color='#F44336]]需要系統管理員權限[/font]
SETTING_PAC_SERVER_SET_DOMAIN	PAC 도메인	PAC域	PAC Domain	PACドメイン	PAC域名
SETTING_PAC_SERVER_SET_DOMAIN_TOOLTIP	외부 네트워크에서 도메인을 사용해서 접속할 경우 설정할 것	若在外部网络中使用域名连接时，设置这部分。	Set if accessing through domain by external network	外部サーバーを用いてアクセスする場合に入力してください	若在外部網絡中使用域名連接時，設置這部分。
SETTING_PAC_SERVER_PORT_NUMBER	PAC 포트번호	PAC端口编号	PAC Port Number	PACポート番号	PAC端口編號
SETTING_PAC_SERVER_NOW_ADMIN	관리자 권한 사용중	正在使用管理人员的权限	Admin Privilege Enabled	管理者権限が有効	正在使用系統管理員權限
SETTING_PAC_SERVER_NEED_ADMIN	관리자 권한 필요	需要管理人员的权限	Admin Privilege Disabled	管理者権限が無効	需要系統管理員權限
SETTING_UPSTREAM_PROXY_GROUP	경유 프록시	经由代理服务器	Upstream Proxy	プロキシサーバー経由	經由代理伺服器
SETTING_UPSTREAM_PROXY_USE_UPSTREAM_PROXY	경유 프록시	经由代理服务器	Upstream Proxy	プロキシサーバー経由	經由代理伺服器
SETTING_UPSTREAM_PROXY_ADDRESS	경유 프록시 주소	经由的代理服务器地址	Upstream Proxy Address	プロキシサーバーのアドレス	經由的代理伺服器位置
